ds,Actual,Predicted
11/26/2024,61,36.169933217092336
11/27/2024,40,35.97857583480277
11/29/2024,78,44.17244079991603
11/30/2024,65,43.86562780309103
12/1/2024,36,32.78987798062253
12/2/2024,33,32.53372733407394
12/3/2024,46,35.95765857813597
12/4/2024,47,35.766301195838814
12/5/2024,36,34.80569473746328
12/6/2024,48,43.960166160967916
12/7/2024,55,43.653353164128454
12/8/2024,37,32.577603341696076
12/9/2024,36,32.32145269511725
12/10/2024,37,35.745383939179604
12/11/2024,35,35.554026556880125
12/12/2024,48,34.5934201
12/13/2024,57,43.74789152198477
12/14/2024,53,43.44107852516588
12/15/2024,49,32.36532870272588
12/16/2024,54,32.10917805616603
12/17/2024,41,35.533109300223295
12/18/2024,50,35.341751917918806
12/19/2024,42,34.38114545954851
12/20/2024,51,43.535616883036646
12/21/2024,54,43.228803886203295
12/22/2024,30,32.153054063760564
12/23/2024,41,31.896903417209344
12/24/2024,48,35.32083466125766
12/26/2024,39,34.168870820600745
12/27/2024,46,43.32334224407648
