ds,yhat,yhat_lower,yhat_upper
2024-01-01,42.975454701356995,32.92580023116621,53.1879593471091
2024-01-02,46.397070338564404,36.76290412506308,56.73975024887564
2024-01-03,46.20339734944607,36.56274019740024,55.74942887921202
2024-01-04,45.24047528424865,36.09847680969738,55.1566229640753
2024-01-05,54.39263110089763,45.49627539824912,64.49230588275307
2024-01-06,54.083502497250514,44.16569855523719,63.523425540551166
2024-01-07,43.00543706798602,33.01318311641664,53.08970180395515
2024-01-08,42.746970816599216,33.174948434226664,52.92597461295312
2024-01-09,46.168586455820794,37.01753459962804,56.15081218521539
2024-01-10,45.97491346869241,37.01042464277748,56.31468996852126
2024-01-11,45.01199140549909,34.87444637893183,54.849762034348394
2024-01-12,54.16414722415486,44.48657698304018,63.68117549222367
2024-01-13,53.85501862252341,44.1488791329122,63.44218274831005
2024-01-14,42.77695319699117,32.96712482353574,52.86364314957756
2024-01-15,42.51848694737603,33.38596509762379,52.60322873363208
2024-01-16,45.940102588360375,36.255936199905065,56.18431132018884
2024-01-17,45.746429602994844,34.89909592714389,55.530218520488184
2024-01-18,44.78350754157282,35.04636315394256,54.368243403465925
2024-01-19,53.93566336099468,44.01706124604874,63.06690040281563
2024-01-20,53.62653476011042,44.04271600801959,63.15080925020116
2024-01-21,42.548469333567006,33.59326763184683,52.814837739917955
2024-01-22,42.290003082964574,32.42685729760148,52.3005608024991
2024-01-23,45.711618722943015,35.86006414070237,55.43935022375733
2024-01-24,45.51794573658372,35.48905080170872,56.1319276013424
2024-01-25,44.55502366806375,34.18843124042316,54.27735900564448
2024-01-26,53.707179481405305,43.60275612790687,63.842607503736204
2024-01-27,53.39805087442904,44.18422864200177,63.465634264155575
2024-01-28,42.319985441804214,32.757050333783575,52.77250938397542
2024-01-29,42.06151918510566,32.77318460560365,51.55229722296669
2024-01-30,45.483134819017245,35.79761351355995,56.020502672616
2024-01-31,45.289461824651994,35.19541673982173,55.261484070175676
2024-02-01,44.32653975420893,34.24922350525217,53.7645323830153
2024-02-02,53.47869556564597,43.51684229408071,63.38834334124611
2024-02-03,53.16956695673783,43.19320753697873,63.17558302727653
2024-02-04,42.09150152223292,32.6678380602475,51.77379283330437
2024-02-05,41.8330352635916,31.413055042129457,51.45628739593767
2024-02-06,45.25465089862659,35.130194924299545,54.22245698803781
2024-02-07,45.06097790729688,35.01177363462392,54.27983227936004
2024-02-08,44.09805583989824,34.37110995055067,54.59212031321981
2024-02-09,53.25021165435,43.81711983811416,62.58650559462373
2024-02-10,52.94108304849686,42.84995700066535,62.21263828552104
2024-02-11,41.86301763616313,32.31011859303924,52.2744488067147
2024-02-12,41.60455139970378,31.77362647177453,50.84399316500643
2024-02-13,45.02616705386104,35.41000532364603,55.18739090789161
2024-02-14,44.832494081656385,35.07299586901711,54.93245360949176
